"Apr 1, 2004","Apr 1, 2005","Apr 1, 2006","Apr 1, 2007","Apr 1, 2008","Apr 1, 2009","Apr 1, 2010","Apr 1, 2011","Apr 1, 2012","Apr 1, 2013","Apr 1, 2014","Apr 1, 2015","Apr 1, 2016","Apr 1, 2017","Apr 1, 2018","Apr 1, 2019","Apr 1, 2020","Apr 1, 2021","Apr 1, 2022","Aug 1, 2004","Aug 1, 2005","Aug 1, 2006","Aug 1, 2007","Aug 1, 2008","Aug 1, 2009","Aug 1, 2010","Aug 1, 2011","Aug 1, 2012","Aug 1, 2013","Aug 1, 2014","Aug 1, 2015","Aug 1, 2016","Aug 1, 2017","Aug 1, 2018","Aug 1, 2019","Aug 1, 2020","Aug 1, 2021","Aug 1, 2022","Dec 1, 2004","Dec 1, 2005","Dec 1, 2006","Dec 1, 2007","Dec 1, 2008","Dec 1, 2009","Dec 1, 2010","Dec 1, 2011","Dec 1, 2012","Dec 1, 2013","Dec 1, 2014","Dec 1, 2015","Dec 1, 2016","Dec 1, 2017","Dec 1, 2018","Dec 1, 2019","Dec 1, 2020","Dec 1, 2021","Dec 1, 2022","Feb 1, 2004","Feb 1, 2005","Feb 1, 2006","Feb 1, 2007","Feb 1, 2008","Feb 1, 2009","Feb 1, 2010","Feb 1, 2011","Feb 1, 2012","Feb 1, 2013","Feb 1, 2014","Feb 1, 2015","Feb 1, 2016","Feb 1, 2017","Feb 1, 2018","Feb 1, 2019","Feb 1, 2020","Feb 1, 2021","Feb 1, 2022","Feb 1, 2023","Jan 1, 2004","Jan 1, 2005","Jan 1, 2006","Jan 1, 2007","Jan 1, 2008","Jan 1, 2009","Jan 1, 2010","Jan 1, 2011","Jan 1, 2012","Jan 1, 2013","Jan 1, 2014","Jan 1, 2015","Jan 1, 2016","Jan 1, 2017","Jan 1, 2018","Jan 1, 2019","Jan 1, 2020","Jan 1, 2021","Jan 1, 2022","Jan 1, 2023","Jul 1, 2004","Jul 1, 2005","Jul 1, 2006","Jul 1, 2007","Jul 1, 2008","Jul 1, 2009","Jul 1, 2010","Jul 1, 2011","Jul 1, 2012","Jul 1, 2013","Jul 1, 2014","Jul 1, 2015","Jul 1, 2016","Jul 1, 2017","Jul 1, 2018","Jul 1, 2019","Jul 1, 2020","Jul 1, 2021","Jul 1, 2022","Jun 1, 2004","Jun 1, 2005","Jun 1, 2006","Jun 1, 2007","Jun 1, 2008","Jun 1, 2009","Jun 1, 2010","Jun 1, 2011","Jun 1, 2012","Jun 1, 2013","Jun 1, 2014","Jun 1, 2015","Jun 1, 2016","Jun 1, 2017","Jun 1, 2018","Jun 1, 2019","Jun 1, 2020","Jun 1, 2021","Jun 1, 2022","Mar 1, 2004","Mar 1, 2005","Mar 1, 2006","Mar 1, 2007","Mar 1, 2008","Mar 1, 2009","Mar 1, 2010","Mar 1, 2011","Mar 1, 2012","Mar 1, 2013","Mar 1, 2014","Mar 1, 2015","Mar 1, 2016","Mar 1, 2017","Mar 1, 2018","Mar 1, 2019","Mar 1, 2020","Mar 1, 2021","Mar 1, 2022","Mar 1, 2023","May 1, 2004","May 1, 2005","May 1, 2006","May 1, 2007","May 1, 2008","May 1, 2009","May 1, 2010","May 1, 2011","May 1, 2012","May 1, 2013","May 1, 2014","May 1, 2015","May 1, 2016","May 1, 2017","May 1, 2018","May 1, 2019","May 1, 2020","May 1, 2021","May 1, 2022","Nov 1, 2004","Nov 1, 2005","Nov 1, 2006","Nov 1, 2007","Nov 1, 2008","Nov 1, 2009","Nov 1, 2010","Nov 1, 2011","Nov 1, 2012","Nov 1, 2013","Nov 1, 2014","Nov 1, 2015","Nov 1, 2016","Nov 1, 2017","Nov 1, 2018","Nov 1, 2019","Nov 1, 2020","Nov 1, 2021","Nov 1, 2022","Oct 1, 2004","Oct 1, 2005","Oct 1, 2006","Oct 1, 2007","Oct 1, 2008","Oct 1, 2009","Oct 1, 2010","Oct 1, 2011","Oct 1, 2012","Oct 1, 2013","Oct 1, 2014","Oct 1, 2015","Oct 1, 2016","Oct 1, 2017","Oct 1, 2018","Oct 1, 2019","Oct 1, 2020","Oct 1, 2021","Oct 1, 2022","Sep 1, 2004","Sep 1, 2005","Sep 1, 2006","Sep 1, 2007","Sep 1, 2008","Sep 1, 2009","Sep 1, 2010","Sep 1, 2011","Sep 1, 2012","Sep 1, 2013","Sep 1, 2014","Sep 1, 2015","Sep 1, 2016","Sep 1, 2017","Sep 1, 2018","Sep 1, 2019","Sep 1, 2020","Sep 1, 2021","Sep 1, 2022","Term / Date","message"
"71","0","0","0","0","15","9","6","7","7","6","9","5","5","3","4","4","5","6","0","42","0","9","0","9","6","9","7","6","5","8","4","5","4","5","5","5","6","0","0","0","16","13","23","27","10","6","8","6","7","4","6","4","4","6","6","7","0","0","0","0","13","5","11","7","11","10","5","7","5","6","6","5","6","6","7","10","0","48","0","0","0","11","22","11","10","9","4","7","4","4","5","3","4","7","7","6","40","0","0","15","0","11","16","10","9","8","9","5","4","8","6","5","7","5","8","0","0","14","16","0","8","12","7","6","4","5","8","5","5","4","3","6","5","6","0","0","0","0","9","8","20","11","12","8","6","10","6","6","7","4","5","6","6","7","0","0","0","0","0","13","10","1","6","9","4","5","4","4","3","4","5","4","5","44","0","0","0","14","16","6","5","7","5","7","6","5","5","3","4","5","5","5","0","100","0","0","0","13","14","7","9","5","7","4","3","5","3","4","5","4","5","39","0","22","21","8","8","6","6","9","8","8","6","4","5","3","4","6","6","6","tax rate calculator ",
"0","0","0","0","0","0","0","0","2","3","1","1","2","2","2","2","3","5","4","84","0","17","0","0","0","7","0","2","3","2","2","2","2","1","2","3","5","3","0","0","0","0","0","5","4","2","4","2","2","2","1","2","2","2","4","4","4","0","0","0","0","20","0","0","5","5","3","1","1","2","3","3","1","2","3","5","4","0","0","0","0","12","0","0","0","3","4","2","3","2","2","2","2","3","2","4","4","0","59","0","17","0","7","0","1","0","2","2","2","2","1","2","1","2","4","3","0","28","0","0","0","5","0","0","3","2","1","3","3","1","2","1","3","3","3","0","0","0","0","0","0","0","5","2","3","1","2","1","2","2","1","3","4","5","4","0","100","0","0","0","0","9","1","1","2","1","1","2","2","2","2","3","4","3","0","0","0","0","14","0","16","2","5","3","3","3","1","2","1","2","3","4","3","0","24","0","0","8","7","7","2","1","3","2","0","2","2","2","2","4","4","3","0","0","0","0","0","10","0","3","3","1","1","3","2","2","2","2","3","4","3","government spending ",
"100","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","28","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","7","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","29","0","0","0","0","3","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","4","3","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","10","8","4","0","0","0","0","1","0","0","0","0","0","0","0","0","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","budget battle ",
"0","0","27","12","0","0","18","0","1","0","0","0","1","1","1","0","1","1","2","40","0","0","0","13","0","0","2","1","1","0","0","1","0","0","1","1","2","1","0","0","21","0","8","0","0","2","0","2","1","1","1","1","1","1","2","0","2","0","0","0","0","0","6","0","0","0","3","1","2","0","1","1","1","1","1","2","2","76","0","0","26","0","13","0","10","0","1","1","1","1","1","0","1","1","1","2","2","0","0","0","16","0","0","0","1","0","1","0","0","1","1","1","1","1","1","1","0","0","0","0","0","0","0","1","0","1","0","1","1","0","1","1","0","1","2","0","100","0","18","0","0","0","0","2","0","1","2","1","1","1","1","1","2","2","2","0","0","0","0","0","7","0","0","1","1","1","1","2","2","1","1","1","1","1","0","0","0","0","13","0","0","1","1","2","1","1","0","1","1","2","1","1","1","82","0","0","9","0","0","0","2","0","1","0","1","0","1","0","1","1","1","1","56","0","0","0","9","0","0","2","1","0","0","0","0","1","1","0","1","1","1","balanced budget ",
"0","0","20","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","84","0","0","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","37","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","41","0","0","0","0","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","54","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","2","0","2","0","1","0","0","0","0","0","0","0","0","0","0","17","0","12","0","20","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","44","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","44","0","17","0","10","0","0","0","0","0","1","0","0","0","0","0","0","1","0","us budget deficit ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gramm Rudman ","The search term displays no data."
"58","0","25","0","0","3","2","1","0","1","1","0","1","1","1","1","2","1","2","74","0","0","0","13","0","0","2","1","2","1","1","1","1","1","1","1","1","1","0","0","13","0","12","0","5","0","1","1","1","1","1","1","1","1","2","1","1","55","0","0","0","0","5","6","0","1","1","1","1","1","1","1","1","1","2","2","1","100","0","13","0","0","5","5","1","1","1","1","1","0","1","1","1","1","1","2","2","30","13","0","0","0","2","4","3","0","0","1","1","1","1","1","1","1","2","1","0","0","16","0","0","5","6","2","2","1","1","0","1","1","1","1","1","2","2","0","0","9","0","0","0","2","2","2","1","1","1","1","1","1","1","1","2","2","1","0","0","0","0","0","0","0","1","1","0","0","0","1","1","1","1","2","2","2","0","0","0","0","6","0","0","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","12","0","4","1","2","2","2","0","1","1","1","1","1","1","1","0","0","8","4","8","0","0","0","1","0","1","1","1","1","1","1","2","1","1","national debt ",
"0","36","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","6","1","1","0","1","0","0","0","1","1","0","0","0","0","0","15","0","0","0","0","1","0","0","1","1","0","0","0","1","0","1","100","0","0","13","0","10","0","0","0","0","1","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","1","0","0","0","0","21","0","0","0","0","0","2","1","1","1","0","0","0","1","1","1","0","44","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","8","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","11","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","1","1","0","0","1","0","1","0","1","0","federal debt ",
"0","0","0","0","0","0","18","0","3","0","1","0","1","1","1","0","0","1","0","0","0","0","0","0","9","0","100","2","0","2","1","0","1","1","0","0","2","1","0","53","0","22","11","0","7","2","6","2","1","1","1","1","0","0","0","1","1","0","0","0","0","42","0","12","0","0","0","2","0","0","1","1","0","0","0","1","2","0","0","0","0","0","0","0","0","0","17","3","1","3","1","1","0","0","1","1","5","0","0","0","0","0","0","0","72","3","2","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","10","5","0","2","0","2","0","0","0","0","0","1","0","0","0","0","55","0","15","0","0","0","5","1","0","0","1","0","1","0","0","0","1","0","0","46","0","0","0","0","0","2","4","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","5","0","3","2","1","0","0","0","0","0","2","0","0","63","28","0","0","10","0","15","2","70","2","2","0","0","0","0","0","6","0","0","0","0","0","0","0","0","22","0","10","1","0","0","3","0","1","0","3","0","debt ceiling ",
"0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","26","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","6","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","55","0","0","0","0","15","0","1","0","0","0","0","0","0","0","0","0","0","0","0","16","22","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","20","0","0","17","0","0","1","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","24","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","24","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","government deficits ",
