"Apr 1, 2004","Apr 1, 2005","Apr 1, 2006","Apr 1, 2007","Apr 1, 2008","Apr 1, 2009","Apr 1, 2010","Apr 1, 2011","Apr 1, 2012","Apr 1, 2013","Apr 1, 2014","Apr 1, 2015","Apr 1, 2016","Apr 1, 2017","Apr 1, 2018","Apr 1, 2019","Apr 1, 2020","Apr 1, 2021","Apr 1, 2022","Aug 1, 2004","Aug 1, 2005","Aug 1, 2006","Aug 1, 2007","Aug 1, 2008","Aug 1, 2009","Aug 1, 2010","Aug 1, 2011","Aug 1, 2012","Aug 1, 2013","Aug 1, 2014","Aug 1, 2015","Aug 1, 2016","Aug 1, 2017","Aug 1, 2018","Aug 1, 2019","Aug 1, 2020","Aug 1, 2021","Aug 1, 2022","Dec 1, 2004","Dec 1, 2005","Dec 1, 2006","Dec 1, 2007","Dec 1, 2008","Dec 1, 2009","Dec 1, 2010","Dec 1, 2011","Dec 1, 2012","Dec 1, 2013","Dec 1, 2014","Dec 1, 2015","Dec 1, 2016","Dec 1, 2017","Dec 1, 2018","Dec 1, 2019","Dec 1, 2020","Dec 1, 2021","Dec 1, 2022","Feb 1, 2004","Feb 1, 2005","Feb 1, 2006","Feb 1, 2007","Feb 1, 2008","Feb 1, 2009","Feb 1, 2010","Feb 1, 2011","Feb 1, 2012","Feb 1, 2013","Feb 1, 2014","Feb 1, 2015","Feb 1, 2016","Feb 1, 2017","Feb 1, 2018","Feb 1, 2019","Feb 1, 2020","Feb 1, 2021","Feb 1, 2022","Feb 1, 2023","Jan 1, 2004","Jan 1, 2005","Jan 1, 2006","Jan 1, 2007","Jan 1, 2008","Jan 1, 2009","Jan 1, 2010","Jan 1, 2011","Jan 1, 2012","Jan 1, 2013","Jan 1, 2014","Jan 1, 2015","Jan 1, 2016","Jan 1, 2017","Jan 1, 2018","Jan 1, 2019","Jan 1, 2020","Jan 1, 2021","Jan 1, 2022","Jan 1, 2023","Jul 1, 2004","Jul 1, 2005","Jul 1, 2006","Jul 1, 2007","Jul 1, 2008","Jul 1, 2009","Jul 1, 2010","Jul 1, 2011","Jul 1, 2012","Jul 1, 2013","Jul 1, 2014","Jul 1, 2015","Jul 1, 2016","Jul 1, 2017","Jul 1, 2018","Jul 1, 2019","Jul 1, 2020","Jul 1, 2021","Jul 1, 2022","Jun 1, 2004","Jun 1, 2005","Jun 1, 2006","Jun 1, 2007","Jun 1, 2008","Jun 1, 2009","Jun 1, 2010","Jun 1, 2011","Jun 1, 2012","Jun 1, 2013","Jun 1, 2014","Jun 1, 2015","Jun 1, 2016","Jun 1, 2017","Jun 1, 2018","Jun 1, 2019","Jun 1, 2020","Jun 1, 2021","Jun 1, 2022","Mar 1, 2004","Mar 1, 2005","Mar 1, 2006","Mar 1, 2007","Mar 1, 2008","Mar 1, 2009","Mar 1, 2010","Mar 1, 2011","Mar 1, 2012","Mar 1, 2013","Mar 1, 2014","Mar 1, 2015","Mar 1, 2016","Mar 1, 2017","Mar 1, 2018","Mar 1, 2019","Mar 1, 2020","Mar 1, 2021","Mar 1, 2022","Mar 1, 2023","May 1, 2004","May 1, 2005","May 1, 2006","May 1, 2007","May 1, 2008","May 1, 2009","May 1, 2010","May 1, 2011","May 1, 2012","May 1, 2013","May 1, 2014","May 1, 2015","May 1, 2016","May 1, 2017","May 1, 2018","May 1, 2019","May 1, 2020","May 1, 2021","May 1, 2022","Nov 1, 2004","Nov 1, 2005","Nov 1, 2006","Nov 1, 2007","Nov 1, 2008","Nov 1, 2009","Nov 1, 2010","Nov 1, 2011","Nov 1, 2012","Nov 1, 2013","Nov 1, 2014","Nov 1, 2015","Nov 1, 2016","Nov 1, 2017","Nov 1, 2018","Nov 1, 2019","Nov 1, 2020","Nov 1, 2021","Nov 1, 2022","Oct 1, 2004","Oct 1, 2005","Oct 1, 2006","Oct 1, 2007","Oct 1, 2008","Oct 1, 2009","Oct 1, 2010","Oct 1, 2011","Oct 1, 2012","Oct 1, 2013","Oct 1, 2014","Oct 1, 2015","Oct 1, 2016","Oct 1, 2017","Oct 1, 2018","Oct 1, 2019","Oct 1, 2020","Oct 1, 2021","Oct 1, 2022","Sep 1, 2004","Sep 1, 2005","Sep 1, 2006","Sep 1, 2007","Sep 1, 2008","Sep 1, 2009","Sep 1, 2010","Sep 1, 2011","Sep 1, 2012","Sep 1, 2013","Sep 1, 2014","Sep 1, 2015","Sep 1, 2016","Sep 1, 2017","Sep 1, 2018","Sep 1, 2019","Sep 1, 2020","Sep 1, 2021","Sep 1, 2022","Term / Date","message"
"49","91","45","51","58","45","41","33","33","26","21","24","22","20","17","12","11","15","19","75","52","52","46","46","50","38","37","29","24","23","24","27","23","14","15","17","18","16","65","58","51","46","44","45","37","27","28","20","23","22","21","17","12","14","17","16","17","76","93","56","56","61","54","55","38","30","30","22","25","29","23","16","13","17","18","21","20","100","72","58","52","52","43","43","35","28","28","24","20","22","20","16","13","14","16","17","15","67","62","62","51","60","54","50","49","31","30","27","23","26","32","16","16","13","17","23","32","62","56","48","46","41","42","32","30","24","22","25","23","20","14","13","12","17","20","62","64","66","61","55","52","44","36","35","28","23","26","27","23","17","14","11","18","20","20","55","63","52","56","46","40","41","30","32","24","18","24","22","18","15","13","11","15","17","74","64","42","46","54","47","43","33","24","25","27","20","23","20","11","14","13","15","16","49","50","32","42","31","38","40","31","27","22","21","20","17","16","11","11","15","14","13","39","71","39","40","49","44","45","37","25","25","22","21","20","22","12","14","17","17","16","taxation",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"governmentspending","The search term displays no data."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"usfederalbudget","The search term displays no data."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fiscalstimulus","The search term displays no data."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"balancedbudget","The search term displays no data."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"federaldebt","The search term displays no data."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"usbudgetdeficit","The search term displays no data."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"nationaldebt","The search term displays no data."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GrammRudman","The search term displays no data."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"debtceiling","The search term displays no data."
